year,median_gdp,continent_name
2004,1456.0,Asia
2004,2248.0,Oceania
2004,557.0,Africa
2004,5251.0,North America
2004,2880.5,South America
2004,16944.0,Europe
2005,3492.0,South America
2005,664.0,Africa
2005,1731.0,Asia
2005,17855.0,Europe
2005,5493.0,North America
2005,2353.0,Oceania
2006,6072.0,North America
2006,4455.5,South America
2006,782.0,Africa
2006,2502.0,Oceania
2006,19177.0,Europe
2006,2397.0,Asia
2007,883.0,Africa
2007,5208.5,South America
2007,3085.0,Asia
2007,2768.0,Oceania
2007,21981.0,Europe
2007,6655.0,North America
2008,4118.0,Asia
2008,1090.0,Africa
2008,3095.0,Oceania
2008,22785.5,Europe
2008,6130.0,South America
2008,6802.0,North America
2009,19260.0,Europe
2009,6283.5,South America
2009,863.0,Africa
2009,4027.0,Asia
2009,2763.0,Oceania
2009,6779.0,North America
2010,7250.0,South America
2010,4613.0,Asia
2010,17550.0,Europe
2010,1008.0,Africa
2010,7357.5,North America
2010,3113.0,Oceania
2011,1118.5,Africa
2011,19170.0,Europe
2011,3362.0,Oceania
2011,8069.5,North America
2011,7692.5,South America
2011,5725.0,Asia
2012,8562.0,South America
2012,3620.0,Oceania
2012,16893.0,Europe
2012,9386.0,North America
2012,6567.0,Asia
2012,1029.0,Africa
